nombre,numero,posicion,edad,fecha_nacimiento,altura,peso,partidos_iniciados,substituto,goles,disparos,disparos_arco,faltas,faltas_cometidas,faltas_recibidas,tarjetas_amarillas,tarjetas_rojas
Paulo Da Silva,2,Defensa,31,21/07/1989,1.74,75,16,0,0,12,3,0,7,6,1,0
Antonio Roos,3,Defensa,34,09/05/1986,1.82,75,15,1,0,10,3,0,18,24,2,1
Osvaldo Gonzales,4,Defensa,36,02/02/1984,1.8,87,15,1,0,5,0,1,23,10,5,0
Gerardo Flores,5,Defensa,32,11/08/1988,1.82,74,14,1,1,11,1,4,25,22,7,0
Erbin Trejo,6,Volante,28,06/02/1992,1.72,70,14,1,1,14,2,3,22,17,3,0
Pablo Barrientos,7,Volante,27,20/10/1993,1.7,68,11,3,4,19,5,3,20,24,2,0
Fernando Uribe,8,Delantero Centro,28,04/08/1992,NA,NA,10,5,7,39,17,1,9,6,0,0
Ernesto Vega,9,Delantero Centro,19,26/11/2001,NA,NA,10,2,1,23,9,3,14,16,2,0
Enrique Triverio,10,Volante,40,24/05/1980,1.63,68,8,3,4,26,13,1,23,24,3,0
Oscar Rojas,11,Delantero Centro,34,11/04/1986,1.7,64,7,0,0,1,1,0,9,8,0,1
Rodrigo Gomez,13,Volante,20,31/01/2000,NA,NA,6,4,0,12,6,0,2,17,2,0
Jesus Jose David Mendez,15,Volante,28,25/10/1992,1.73,68,4,3,0,4,1,0,18,4,2,0
Aldo Benitez,16,Defensa,31,17/04/1989,NA,NA,4,1,0,0,0,0,14,1,3,0
Sinha,17,Delantero Centro,20,15/01/2000,NA,NA,3,9,0,6,2,0,9,14,1,0
Moises Velasco,18,Volante,29,27/12/1990,1.68,67,3,0,0,3,0,0,5,4,0,0
Maikon Leite,19,Volante,30,16/01/1990,NA,NA,1,3,1,7,2,0,1,2,0,0
Dario Bottinelli,21,Delantero Centro,27,01/01/1993,1.82,78,0,2,0,1,0,0,1,0,0,0
Diego Gama,23,Defensa,24,28/11/1996,NA,NA,0,3,0,0,0,0,2,1,0,0
Edy Brambila,24,Volante,31,18/01/1989,1.77,72,0,4,0,1,0,0,0,3,0,0
Jordan Silva,25,Volante,32,02/08/1988,NA,NA,0,2,0,1,1,0,1,0,0,0
